Address,AreaName,bedrooms,bathrooms,sqft_living,sqft_lot,floors, price 
"86 Waterford Dr Toronto, ON",Richview,3,1,1180,5650,1,"$221,900.00 "
"#80 - 100 BEDDOE DR Hamilton, ON",Chedoke Park B,3,2.25,2570,7242,2,"$538,000.00 "
"213 Bowman Street Hamilton, ON",Ainslie Wood East,2,1,770,10000,1,"$180,000.00 "
"102 NEIL Avenue Hamilton, ON",Greenford,4,3,1960,5000,1,"$604,000.00 "
"#1409 - 230 King St Toronto, ON",Downtown,3,2,1680,8080,1,"$510,000.00 "
"254A Monarch Park Ave Toronto, ON",Old East York,4,4.5,5420,101930,1,"$1,225,000.00 "
"532 Caledonia Rd Toronto, ON",Fairbank,3,2.25,1715,6819,2,"$257,500.00 "
"11 REBECCA Street Hamilton, ON",Central Hamilton,3,1.5,1060,9711,1,"$291,850.00 "
"617 BRIGADOON Drive Hamilton, ON",Gourley,3,1,1780,7470,1,"$229,500.00 "
"51 - 255 MOUNT ALBION Road Hamilton, ON",Red Hill,3,2.5,1890,6560,2,"$323,000.00 "
"1170 LAMBTON Drive Oakville, ON",Clearview,3,2.5,3560,9796,1,"$662,500.00 "
"47 Armstrong Ave Toronto, ON",Wallace Emerson,2,1,1160,6000,1,"$468,000.00 "
"3 Bracebridge Ave Toronto, ON",Old East York,3,1,1430,19901,1.5,"$310,000.00 "
"#808 - 2167 Lake Shore Blvd Toronto, ON",Parkdale,3,1.75,1370,9680,1,"$400,000.00 "
"#2706 - 2167 Lake Shore Blvd Toronto, ON",Parkdale,5,2,1810,4850,1.5,"$530,000.00 "
"#710 - 1080 Bay St Toronto, ON",Downtown,4,3,2950,5000,2,"$650,000.00 "
"#A - 753 Shaw St Toronto, ON",Midtown Toronto,3,2,1890,14040,2,"$395,000.00 "
"160 Jenkinson Way Toronto, ON",Dorset Park,4,1,1600,4300,1.5,"$485,000.00 "
"40 Hawthorne Rd Toronto, ON",Richview,2,1,1200,9850,1,"$189,000.00 "
"#4905 - 16 Harbour St Toronto, ON",Downtown,3,1,1250,9774,1,"$230,000.00 "
"166 Mcnicoll Ave Toronto, ON",Hillcrest Village,4,1.75,1620,4980,1,"$385,000.00 "
"430 Military Tr Toronto, ON",Morningside,3,2.75,3050,44867,1,"$2,000,000.00 "
"67 Montressor Dr Toronto, ON",St. Andrew - Windfields,5,2.5,2270,6300,2,"$285,000.00 "
"46 Bruce Farm Dr Toronto, ON",Bayview Woods - Steeles,2,1.5,1070,9643,1,"$252,700.00 "
"#1215 - 2627 Mccowan Rd Toronto, ON",Agincourt,3,2.25,2450,6500,2,"$329,000.00 "
"247 Westmount Ave Toronto, ON",St. Clair West Village,3,2,1710,4697,1.5,"$233,000.00 "
"31 Yorkshire Rd Toronto, ON",Ionview,3,1.75,2450,2691,2,"$937,000.00 "
"34 Ordway Rd Toronto, ON",Kennedy Park,3,1,1400,1581,1.5,"$667,000.00 "
"47 Waterbeach Cres Toronto, ON",Rexdale,3,1.75,1520,6380,1,"$438,000.00 "
"2 Moraine Hill Dr Toronto, ON",Tam O'Shanter,4,2.5,2570,7173,2,"$719,000.00 "
"11 Mid Pines Rd Toronto, ON",Woburn,3,2.5,2320,3980,2,"$580,500.00 "
"#1002 - 61 Richview Rd Toronto, ON",Humber Heights - Westmount,2,1.5,1190,1265,3,"$280,000.00 "
"20 Shrewsbury Sq Toronto, ON",Tam O'Shanter - Sullivan,4,1.75,2330,5000,1.5,"$687,500.00 "
"#18 - 170 Wickson Tr Toronto, ON",Malvern,3,1,1090,3000,1.5,"$535,000.00 "
